,collection_date,collection_time,geo_loc_name,isolation_source,collection_site_id,project_name,collected_by,purpose_of_ww_sampling,ww_sample_site,ww_flow,instantaneous_flow,ww_population,ww_sample_matrix,ww_sample_type,collection_volume,ww_sample_duration,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,concentration_method,extraction_method,extraction_control,ww_surv_target_1,ww_surv_target_1_known_present,ww_surv_target_1_protocol,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,sequenced_by,BioSampleModel,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,sequence_submitter_contact_email,experiment_id,SRA_id,raw_sequence_data_processing_method,sample_name,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,ww_endog_control_1,ww_endog_control_1_conc,ww_endog_control_1_protocol,ww_endog_control_1_units,ww_primary_sludge_retention_time,ww_processing_protocol,ww_surv_target_2_protocol
SRR25652983,2023-06-05,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,73000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652983,SRX21379034,,,,191-230605,,,,,,,,
SRR25652313,2023-06-05,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,97000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652313,SRX21378398,,,,219-230605,,,,,,,,
SRR25652312,2023-06-05,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,97000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652312,SRX21378399,,,,219-230605,,,,,,,,
SRR25652308,2023-06-05,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,44000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652308,SRX21378403,,,,201-230605,,,,,,,,
SRR25652307,2023-06-05,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,44000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652307,SRX21378404,,,,201-230605,,,,,,,,
SRR25652982,2023-06-05,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,73000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652982,SRX21379035,,,,191-230605,,,,,,,,
SRR25652083,2023-06-05,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,47000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652083,SRX21378284,,,,229-230605,,,,,,,,
SRR25652788,2023-06-04,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,3500000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652788,SRX21378635,,,,19-230604,,,,,,,,
SRR25652787,2023-06-04,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,3500000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652787,SRX21378636,,,,19-230604,,,,,,,,
SRR25652979,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,350000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652979,SRX21379038,,,,197-230602,,,,,,,,
SRR25652320,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,9000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652320,SRX21378391,,,,189-230602,,,,,,,,
SRR25652321,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,9000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652321,SRX21378390,,,,189-230602,,,,,,,,
SRR25652974,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,97000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652974,SRX21379043,,,,219-230602,,,,,,,,
SRR25652973,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,97000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652973,SRX21379044,,,,219-230602,,,,,,,,
SRR25652972,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,47000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652972,SRX21379045,,,,229-230602,,,,,,,,
SRR25652323,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,47000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652323,SRX21379046,,,,229-230602,,,,,,,,
SRR25652978,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,73000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652978,SRX21379039,,,,191-230602,,,,,,,,
SRR25652977,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,73000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652977,SRX21379040,,,,191-230602,,,,,,,,
SRR25652980,2023-06-02,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,350000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652980,SRX21379037,,,,197-230602,,,,,,,,
SRR25652976,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,3500000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652976,SRX21379041,,,,19-230531,,,,,,,,
SRR25652090,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,130000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652090,SRX21378277,,,,212-230531,,,,,,,,
SRR25652990,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,9000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652990,SRX21379027,,,,189-230531,,,,,,,,
SRR25652091,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,130000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652091,SRX21378276,,,,212-230531,,,,,,,,
SRR25652448,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,130000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652448,SRX21378278,,,,211-230531,,,,,,,,
SRR25652991,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,9000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652991,SRX21378630,,,,189-230531,,,,,,,,
SRR25652989,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,58496,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652989,SRX21379028,,,,192-230531,,,,,,,,
SRR25652432,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,45000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652432,SRX21378626,,,,200-230531,,,,,,,,
SRR25652433,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,45000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652433,SRX21378625,,,,200-230531,,,,,,,,
SRR25652447,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,130000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652447,SRX21378611,,,,211-230531,,,,,,,,
SRR25652446,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,97000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652446,SRX21378612,,,,219-230531,,,,,,,,
SRR25652445,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,97000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652445,SRX21378613,,,,219-230531,,,,,,,,
SRR25652988,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,58496,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652988,SRX21379029,,,,192-230531,,,,,,,,
SRR25652987,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,44000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652987,SRX21379030,,,,201-230531,,,,,,,,
SRR25652986,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,44000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652986,SRX21379031,,,,201-230531,,,,,,,,
SRR25652985,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,250000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652985,SRX21379032,,,,185-230531,,,,,,,,
SRR25652975,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,3500000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652975,SRX21379042,,,,19-230531,,,,,,,,
SRR25652984,2023-05-31,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,250000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652984,SRX21379033,,,,185-230531,,,,,,,,
SRR25652096,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,58496,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652096,SRX21378271,,,,192-230530,,,,,,,,
SRR25652094,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,44000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652094,SRX21378273,,,,201-230530,,,,,,,,
SRR25652093,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,44000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652093,SRX21378274,,,,201-230530,,,,,,,,
SRR25652097,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,250000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652097,SRX21378270,,,,185-230530,,,,,,,,
SRR25652098,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,250000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652098,SRX21378269,,,,185-230530,,,,,,,,
SRR25652435,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,350000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652435,SRX21378623,,,,197-230530,,,,,,,,
SRR25652101,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,130000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652101,SRX21378266,,,,212-230530,,,,,,,,
SRR25652102,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,130000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652102,SRX21378265,,,,212-230530,,,,,,,,
SRR25652434,2023-05-30,,USA: California,wastewater,,,,public health surveillance community-level,wastewater treatment plant,,,350000,post grit removal,composite,,24,,,,,,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,NA,NA,no,NA,NA,NA,NA,,,,,,,Verily Life Sciences,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,,,,,SRA human read removal tool,publichealthteam@verily.com,SRR25652434,SRX21378624,,,,197-230530,,,,,,,,
